Scheme,InjectBER,MeanErrors
NRZ,0.00100,0.0700
Manchester,0.00100,0.2400
NRZ,0.00150,0.0900
Manchester,0.00150,0.3300
NRZ,0.00225,0.2500
Manchester,0.00225,0.3500
NRZ,0.00338,0.3200
Manchester,0.00338,0.5500
NRZ,0.00506,0.3800
Manchester,0.00506,0.8500
NRZ,0.00759,0.4800
Manchester,0.00759,1.1900
NRZ,0.01139,0.9700
Manchester,0.01139,1.8800
NRZ,0.01709,1.4900
Manchester,0.01709,2.9400
NRZ,0.02563,2.1100
Manchester,0.02563,4.0000
NRZ,0.03844,3.0600
Manchester,0.03844,5.7300
NRZ,0.05767,4.4000
Manchester,0.05767,9.1100
NRZ,0.08650,7.1300
Manchester,0.08650,13.9000
